1	637	15
1	714	3
1	930	3
1	1602	1
1	1681	4
1	2543	3
1	3030	4
1	3634	3
1	4038	4
1	4560	4
1	5030	2
1	5611	6
1	5698	4
1	5752	4
1	6217	3
1	6319	1
1	7027	1
1	7076	5
1	7973	4
1	8687	5
1	9122	3
1	9553	2
1	9923	3
1	11877	2
1	12007	3
1	13632	4
1	13926	2
1	15177	5
1	17331	3
1	18816	6
1	20452	2
1	21716	14
1	21789	3
1	23092	4
1	24779	17
1	24836	14
1	25906	2
1	25935	4
1	26258	2
1	26709	5
1	28353	4
1	28960	2
1	29500	4
1	30021	14
1	30574	4
1	31168	1
1	31168	1
1	31168	2
1	31467	2
1	31597	2
1	32979	5
1	34341	17
1	35338	17
1	37018	5
2	680	4
2	714	2
2	1681	4
2	1738	2
2	2621	4
2	2849	1
2	3634	9
2	4038	5
2	4560	14
2	5303	3
2	5537	2
2	5694	2
2	5698	4
2	5752	5
2	6217	3
2	6319	1
2	6993	5
2	7027	1
2	7076	4
2	8687	2
2	9553	4
2	12218	3
2	12744	4
2	14583	5
2	15396	3
2	15885	2
2	17316	3
2	18496	3
2	18816	2
2	19725	2
2	20292	14
2	20452	2
2	22542	2
2	23092	3
2	23322	4
2	24110	2
2	24478	2
2	24836	14
2	25935	3
2	26160	3
2	26258	4
2	26473	4
2	27178	3
2	28353	3
2	28438	2
2	29032	2
2	30021	2
2	30216	14
2	30574	2
2	31168	1
2	31168	1
2	31168	2
2	31168	2
2	31597	1
2	31752	2
2	33379	5
2	33709	4
2	35081	2
2	35338	14
2	37018	2
3	637	14
3	680	4
3	1681	6
3	2543	4
3	3030	4
3	3634	6
3	5537	2
3	5698	4
3	5752	4
3	6107	4
3	6217	4
3	6319	1
3	7027	1
3	9321	2
3	9388	14
3	9553	4
3	11450	3
3	12007	3
3	12228	2
3	12744	3
3	20452	3
3	23322	4
3	23525	14
3	24110	5
3	24478	2
3	24836	14
3	25906	4
3	25935	2
3	26258	3
3	26709	3
3	26982	5
3	28353	6
3	30216	14
3	30216	17
3	30574	14
3	30574	3
3	30678	3
3	31075	4
3	31168	1
3	31168	2
3	31597	2
3	31752	2
3	32615	3
3	34341	14
3	35338	14
3	35338	17
3	37018	5
4	1738	4
4	6070	6
4	9918	7
4	12218	5
4	20197	6
4	21691	6
4	23849	5
4	26720	1
4	32615	4
5	1269	3
5	1738	7
5	3030	3
5	5701	2
5	9640	3
5	11519	2
5	11576	2
5	12218	6
5	13001	2
5	21837	2
5	23889	2
5	26393	2
5	26415	3
5	28265	2
5	31632	4
5	32615	5
5	33057	4
6	5396	3
6	5701	4
6	5991	2
6	6431	2
6	6850	2
6	8433	3
6	8717	14
6	9553	4
6	12300	4
6	12448	4
6	12994	9
6	13114	5
6	13251	4
6	14829	3
6	16020	4
6	19924	3
6	20790	14
6	21837	3
6	23805	6
6	26006	3
6	27900	4
6	29264	3
6	29783	3
6	31054	2
6	31075	6
6	32615	3
6	32757	3
7	714	3
7	764	5
7	1269	4
7	1343	3
7	1738	5
7	1962	3
7	2543	4
7	3030	5
7	5606	2
7	5694	4
7	5991	2
7	5991	4
7	8448	2
7	9265	3
7	10629	2
7	11410	2
7	11561	5
7	11706	3
7	11840	5
7	12218	4
7	12744	3
7	13726	14
7	13926	3
7	14623	5
7	14905	2
7	17316	2
7	20197	2
7	20344	5
7	21028	2
7	21691	2
7	23379	4
7	23525	5
7	24131	3
7	25156	2
7	25546	5
7	25906	4
7	25935	4
7	26258	3
7	26415	2
7	27568	4
7	28136	14
7	28282	3
7	30678	6
7	31075	3
7	31075	14
7	32615	6
7	32615	14
7	33379	5
7	34873	2
8	9406	3
8	20197	5
8	21691	5
8	29566	2
9	1145	2
9	1145	2
9	1328	3
9	1738	2
9	2145	2
9	12218	3
9	12544	1
9	17316	5
9	22807	2
9	25069	2
9	28877	1
9	31632	2
9	32122	2
9	32168	2
10	766	2
10	783	4
10	2419	2
10	4525	4
10	6217	6
10	6993	2
10	8687	2
10	10718	2
10	14583	5
10	14751	1
10	16338	4
10	19152	5
10	19725	5
10	21385	3
10	23805	3
10	24655	5
10	26006	2
10	26473	3
10	30678	3
10	31075	2
10	31972	2
10	32615	3
10	32833	4
10	33253	4
10	34033	5
11	253	3
11	419	17
11	706	3
11	2621	3
11	3346	3
11	4986	2
11	5501	4
11	5662	3
11	6281	2
11	6281	2
11	7132	5
11	7709	3
11	7843	2
11	9404	14
11	9404	14
11	9404	14
11	9404	14
11	9553	2
11	10067	3
11	10531	17
11	10655	2
11	12480	2
11	12576	2
11	14247	3
11	14574	2
11	15034	2
11	15651	17
11	15899	2
11	18496	3
11	19958	14
11	20053	1
11	21479	17
11	23092	2
11	23182	3
11	23740	3
11	23805	1
11	23833	2
11	24045	1
11	25858	14
11	25935	4
11	26258	3
11	26310	5
11	26338	3
11	26473	1
11	26642	3
11	26709	1
11	27567	2
11	29566	2
11	29667	3
11	30678	1
11	31075	2
11	31206	14
11	31546	14
11	32005	2
11	32262	3
11	32495	2
11	32615	2
11	33253	1
11	33891	3
12	637	2
12	1392	17
12	5296	2
12	6045	4
12	7128	2
12	7128	2
12	8964	8
12	10759	5
12	12287	5
12	12361	7
12	12519	5
12	13726	14
12	14536	3
12	14905	2
12	16143	6
12	18613	15
12	21149	14
12	21837	5
12	22349	8
12	25935	2
12	26258	4
12	27614	2
12	28850	2
12	29352	4
12	31632	6
12	32311	8
12	32610	5
12	33279	4
12	34873	2
13	1269	3
13	1962	3
13	2088	3
13	2088	3
13	2449	1
13	3030	2
13	3667	3
13	3863	4
13	4884	5
13	9988	3
13	11561	3
13	12287	3
13	15427	14
13	17519	14
13	17805	2
13	19109	14
13	19541	3
13	23525	4
13	24543	2
13	24664	14
13	25935	4
13	26258	2
13	26872	2
13	31075	4
13	32615	3
13	33600	1
13	35172	4
